Loyalty#,First Name,Last Name,Customer Name,Province or State,City,Latitude,Longitude,Postal code,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,Re_engaged_people,Days_with_us,Days_until_reengagement,Total_NumFlights,Total_DistanceKM,Perc_Flights_With_Companions,Dollar_Cost_Points_Remaining,Recency_Days,Total_NumFlights_2019,Total_NumFlights_2020,Total_NumFlights_2021,Total_DistanceKM_2019,Total_DistanceKM_2020,Total_DistanceKM_2021,Perc_Flights_With_Companions_2019,Perc_Flights_With_Companions_2020,Perc_Flights_With_Companions_2021,Dollar_Cost_Points_Remaining_2019,Dollar_Cost_Points_Remaining_2020,Dollar_Cost_Points_Remaining_2021,Total_NumFlights_month_1,Total_NumFlights_month_2,Total_NumFlights_month_3,Total_NumFlights_month_4,Total_NumFlights_month_5,Total_NumFlights_month_6,Total_NumFlights_month_7,Total_NumFlights_month_8,Total_NumFlights_month_9,Total_NumFlights_month_10,Total_NumFlights_month_11,Total_NumFlights_month_12,Total_DistanceKM_month_1,Total_DistanceKM_month_2,Total_DistanceKM_month_3,Total_DistanceKM_month_4,Total_DistanceKM_month_5,Total_DistanceKM_month_6,Total_DistanceKM_month_7,Total_DistanceKM_month_8,Total_DistanceKM_month_9,Total_DistanceKM_month_10,Total_DistanceKM_month_11,Total_DistanceKM_month_12,Perc_Flights_With_Companions_month_1,Perc_Flights_With_Companions_month_2,Perc_Flights_With_Companions_month_3,Perc_Flights_With_Companions_month_4,Perc_Flights_With_Companions_month_5,Perc_Flights_With_Companions_month_6,Perc_Flights_With_Companions_month_7,Perc_Flights_With_Companions_month_8,Perc_Flights_With_Companions_month_9,Perc_Flights_With_Companions_month_10,Perc_Flights_With_Companions_month_11,Perc_Flights_With_Companions_month_12,Dollar_Cost_Points_Remaining_month_1,Dollar_Cost_Points_Remaining_month_2,Dollar_Cost_Points_Remaining_month_3,Dollar_Cost_Points_Remaining_month_4,Dollar_Cost_Points_Remaining_month_5,Dollar_Cost_Points_Remaining_month_6,Dollar_Cost_Points_Remaining_month_7,Dollar_Cost_Points_Remaining_month_8,Dollar_Cost_Points_Remaining_month_9,Dollar_Cost_Points_Remaining_month_10,Dollar_Cost_Points_Remaining_month_11,Dollar_Cost_Points_Remaining_month_12
480934,Cecilia,Householder,Cecilia Householder,Ontario,Toronto,43.653225,-79.383186,M2Z 4K1,female,Bachelor,Urban,70146.0,Married,Star,2019-02-15,,3839.14,Standard,False,1049,,191.0,497375.0,29.31937172774869,362.13939999999997,29.0,59.0,64.0,68.0,116079.0,128976.0,252320.0,28.8135593220339,29.6875,29.411764705882355,94.46940000000001,104.95,162.72,2.0,8.0,2.0,13.0,32.0,24.0,30.0,31.0,17.0,8.0,15.0,9.0,25173.0,65501.0,12324.0,4840.0,69191.0,43891.0,49709.0,44944.0,44545.0,70952.0,21244.0,45061.0,0.0,25.0,100.0,23.076923076923077,31.25,0.0,0.0,35.483870967741936,58.82352941176471,50.0,73.33333333333333,33.33333333333333,25.17,65.4939,12.32,4.84,69.189,43.8785,49.70399999999999,44.9366,44.539899999999996,33.8046,-24.376099999999997,-7.361000000000003
549612,Dayle,Menez,Dayle Menez,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,male,College,Rural,0.0,Divorced,Star,2019-03-09,,3839.61,Standard,False,1027,,279.0,389939.0,11.469534050179211,165.26390000000004,29.0,89.0,99.0,91.0,127972.0,142191.0,119776.0,7.865168539325842,8.080808080808081,18.681318681318682,67.8339,75.33,22.1,24.0,17.0,32.0,10.0,42.0,12.0,36.0,36.0,10.0,28.0,21.0,11.0,26197.0,26125.0,28793.0,9958.0,58007.0,3077.0,39929.0,76785.0,24325.0,33704.0,35889.0,27150.0,25.0,0.0,0.0,30.0,0.0,41.66666666666667,25.0,25.0,0.0,0.0,0.0,0.0,-0.6498000000000002,26.125,28.784299999999998,9.95,57.998900000000006,3.07,-157.8262,76.7735,24.32,33.6881,35.8801,27.15
429460,Necole,Hannon,Necole Hannon,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,male,College,Urban,0.0,Single,Star,2017-07-14,2021-01-08,3839.75,Standard,False,1274,,120.0,229821.0,33.33333333333333,174.97629999999998,363.0,54.0,60.0,6.0,97691.0,108547.0,23583.0,35.18518518518518,35.0,0.0,71.73629999999999,79.66,23.58,21.0,8.0,15.0,0.0,23.0,0.0,0.0,21.0,15.0,0.0,15.0,2.0,66764.0,6097.0,30356.0,0.0,6110.0,0.0,0.0,16881.0,56823.0,0.0,1030.0,45760.0,0.0,75.0,86.66666666666667,0.0,8.695652173913043,0.0,0.0,80.95238095238095,0.0,0.0,0.0,100.0,66.7543,-48.70790000000001,30.349300000000003,0.0,6.104400000000001,0.0,0.0,16.8765,56.8163,0.0,1.0278,45.755599999999994
608370,Queen,Hagee,Queen Hagee,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,male,College,Suburban,0.0,Single,Star,2016-02-17,,3839.75,Standard,False,2143,,196.0,386030.0,29.591836734693878,222.64129999999997,29.0,73.0,81.0,42.0,143467.0,159407.0,83156.0,30.136986301369863,30.864197530864196,26.190476190476193,82.04129999999999,91.12,49.48,11.0,21.0,31.0,13.0,24.0,37.0,0.0,0.0,19.0,22.0,2.0,16.0,49255.0,35206.0,65665.0,37464.0,38224.0,45139.0,0.0,0.0,9285.0,53130.0,29241.0,23421.0,72.72727272727273,52.38095238095239,41.935483870967744,0.0,16.666666666666664,0.0,0.0,0.0,10.526315789473683,59.09090909090909,0.0,43.75,-13.737399999999997,-31.4985,65.6521,37.456199999999995,38.2229,45.1288,0.0,0.0,9.2783,53.1249,29.241,-10.226999999999999
530508,Claire,Latting,Claire Latting,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,male,Bachelor,Suburban,97832.0,Married,Star,2017-10-25,,3842.79,2021 Promotion,False,1527,,171.0,366613.0,36.84210526315789,366.54,29.0,39.0,43.0,89.0,126360.0,140400.0,99853.0,48.717948717948715,48.837209302325576,25.842696629213485,126.36,140.37,99.81,0.0,22.0,4.0,0.0,24.0,15.0,21.0,38.0,8.0,0.0,24.0,15.0,0.0,19731.0,5566.0,0.0,47106.0,54063.0,55404.0,73431.0,68327.0,0.0,40863.0,2122.0,0.0,40.909090909090914,100.0,0.0,25.0,60.0,0.0,34.21052631578947,100.0,0.0,41.66666666666667,26.666666666666668,0.0,19.7142,5.56,0.0,47.0977,54.0565,55.392799999999994,73.4215,68.3248,0.0,40.8525,2.12
927943,Hue,Sellner,Hue Sellner,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,female,College,Urban,0.0,Single,Star,2017-06-09,,3857.95,Standard,False,1665,,196.0,519317.0,17.346938775510203,303.2717,29.0,53.0,59.0,84.0,169329.0,188143.0,161845.0,16.9811320754717,16.94915254237288,17.857142857142858,82.18169999999998,91.29,129.8,19.0,10.0,6.0,16.0,14.0,51.0,11.0,4.0,14.0,8.0,34.0,9.0,31601.0,12551.0,74955.0,51861.0,30930.0,93344.0,1025.0,51232.0,63516.0,38298.0,54285.0,15719.0,0.0,40.0,66.66666666666666,0.0,0.0,25.49019607843137,0.0,0.0,0.0,50.0,0.0,100.0,31.5988,12.55,42.949,51.852799999999995,30.93,-4.2451000000000025,1.02,51.2276,63.5045,-48.101699999999994,54.2758,15.71
188893,Nakia,Cash,Nakia Cash,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,male,Bachelor,Suburban,93272.0,Married,Star,2019-12-08,,3861.49,Standard,False,753,,215.0,429300.0,31.16279069767442,350.4595,90.0,71.0,79.0,65.0,153241.0,170265.0,105794.0,36.61971830985916,35.44303797468354,20.0,130.6395,145.12,74.7,17.0,8.0,28.0,27.0,13.0,40.0,17.0,14.0,10.0,28.0,13.0,0.0,33541.0,18562.0,73783.0,42233.0,25673.0,73009.0,7321.0,18903.0,39999.0,47987.0,48289.0,0.0,23.52941176470588,25.0,46.42857142857143,18.51851851851852,0.0,45.0,0.0,64.28571428571429,80.0,0.0,61.53846153846154,0.0,-14.171299999999997,-12.51,73.7706,42.22559999999999,25.6708,73.00359999999999,7.32,18.8988,39.9895,47.9784,48.283500000000004,0.0
852392,Arlene,Conterras,Arlene Conterras,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,female,Bachelor,Suburban,93272.0,Married,Star,2018-05-30,,3861.49,Standard,False,1310,,150.0,354479.0,36.0,159.98190000000002,59.0,59.0,65.0,26.0,103079.0,114531.0,136869.0,35.59322033898305,36.92307692307693,34.61538461538461,31.221900000000005,34.66,94.1,9.0,0.0,32.0,34.0,30.0,0.0,17.0,3.0,8.0,0.0,2.0,15.0,44967.0,0.0,29181.0,50979.0,50945.0,0.0,98317.0,28449.0,21993.0,0.0,24900.0,4748.0,11.11111111111111,0.0,40.625,8.823529411764707,50.0,0.0,23.52941176470588,100.0,0.0,0.0,0.0,100.0,44.9567,0.0,29.1729,50.9779,-25.457299999999996,0.0,55.562099999999994,28.44,21.9875,0.0,24.9,-70.5579
866307,Dustin,Recine,Dustin Recine,Ontario,Toronto,43.653225,-79.383186,M8Y 4K8,male,Bachelor,Suburban,93272.0,Married,Star,2019-10-14,,3861.49,Standard,False,808,,220.0,304401.0,32.72727272727273,89.0741,59.0,71.0,79.0,70.0,103778.0,115309.0,85314.0,38.028169014084504,36.708860759493675,22.857142857142858,26.41409999999999,29.3,33.36,2.0,27.0,33.0,18.0,36.0,42.0,0.0,17.0,4.0,19.0,22.0,0.0,1208.0,41913.0,81382.0,43694.0,24328.0,17840.0,0.0,20347.0,48805.0,631.0,24253.0,0.0,100.0,40.74074074074074,15.151515151515152,44.44444444444444,50.0,11.904761904761903,0.0,0.0,100.0,42.10526315789473,50.0,0.0,-86.4636,41.897200000000005,29.4421,43.6918,24.3226,17.8252,0.0,20.34,48.7983,-75.0292,24.249700000000004,0.0
932823,Jeremy,Dickason,Jeremy Dickason,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,female,Bachelor,Suburban,47199.0,Married,Star,2018-03-17,,3863.31,Standard,False,1384,,242.0,431375.0,22.727272727272727,354.7316,59.0,75.0,82.0,85.0,148243.0,164714.0,118418.0,22.666666666666664,23.170731707317074,22.35294117647059,111.9816,124.39,118.36,0.0,19.0,31.0,10.0,16.0,32.0,10.0,27.0,30.0,21.0,29.0,17.0,0.0,30303.0,24857.0,5423.0,17974.0,73519.0,29259.0,46125.0,49535.0,49822.0,46959.0,57599.0,0.0,0.0,12.903225806451612,70.0,0.0,53.125,40.0,29.629629629629626,43.333333333333336,0.0,6.896551724137931,0.0,0.0,30.296999999999997,24.8469,5.4139,17.97,-3.037600000000002,29.2467,46.1123,49.526900000000005,49.819799999999994,46.9422,57.593500000000006
