Loyalty#,First Name,Last Name,Customer Name,Province or State,City,Latitude,Longitude,Postal code,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,Re_engaged_people,Days_with_us,Days_until_reengagement
480934,Cecilia,Householder,Cecilia Householder,Ontario,Toronto,43.653225,-79.383186,M2Z 4K1,female,Bachelor,Urban,70146.0,Married,Star,2019-02-15,,3839.14,Standard,False,2439,
549612,Dayle,Menez,Dayle Menez,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,male,College,Rural,0.0,Divorced,Star,2019-03-09,,3839.61,Standard,False,2417,
429460,Necole,Hannon,Necole Hannon,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,male,College,Urban,0.0,Single,Star,2017-07-14,2021-01-08,3839.75,Standard,False,1274,
608370,Queen,Hagee,Queen Hagee,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,male,College,Suburban,0.0,Single,Star,2016-02-17,,3839.75,Standard,False,3533,
530508,Claire,Latting,Claire Latting,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,male,Bachelor,Suburban,97832.0,Married,Star,2017-10-25,,3842.79,2021 Promotion,False,2917,
927943,Hue,Sellner,Hue Sellner,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,female,College,Urban,0.0,Single,Star,2017-06-09,,3857.95,Standard,False,3055,
188893,Nakia,Cash,Nakia Cash,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,male,Bachelor,Suburban,93272.0,Married,Star,2019-12-08,,3861.49,Standard,False,2143,
852392,Arlene,Conterras,Arlene Conterras,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,female,Bachelor,Suburban,93272.0,Married,Star,2018-05-30,,3861.49,Standard,False,2700,
866307,Dustin,Recine,Dustin Recine,Ontario,Toronto,43.653225,-79.383186,M8Y 4K8,male,Bachelor,Suburban,93272.0,Married,Star,2019-10-14,,3861.49,Standard,False,2198,
932823,Jeremy,Dickason,Jeremy Dickason,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,female,Bachelor,Suburban,47199.0,Married,Star,2018-03-17,,3863.31,Standard,False,2774,
144514,Belkis,Siurek,Belkis Siurek,British Columbia,Dawson Creek,55.759628,-120.23766,U5I 4F1,female,Bachelor,Urban,24204.0,Married,Star,2019-06-11,,3864.78,Standard,False,2323,
611765,Marjorie,Pangelina,Marjorie Pangelina,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,male,Bachelor,Suburban,79628.0,Single,Star,2021-01-28,,3867.97,Standard,False,1726,
988178,Andre,Cotugno,Andre Cotugno,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,male,College,Rural,0.0,Single,Star,2016-10-13,,3871.07,Standard,False,3294,
286114,Vikki,Rengers,Vikki Rengers,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,female,College,Rural,0.0,Single,Star,2019-11-29,,3872.22,Standard,False,2152,
205785,Johnathan,Cannizzaro,Johnathan Cannizzaro,Ontario,Toronto,43.653225,-79.383186,M2M 6J7,male,Master,Rural,28142.0,Married,Star,2019-08-25,,3873.65,Standard,False,2248,
735304,Lang,Privatsky,Lang Privatsky,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,female,Master,Urban,28142.0,Married,Star,2019-12-06,,3873.65,Standard,False,2145,
438936,Bernie,Schlagel,Bernie Schlagel,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,male,Bachelor,Rural,84981.0,Married,Star,2016-10-30,,3878.77,Standard,False,3277,
243713,Doloris,Buben,Doloris Buben,New Brunswick,Moncton,46.087818,-64.778229,E1A 2A7,female,College,Rural,0.0,Married,Star,2021-02-09,,3883.4,2021 Promotion,False,1714,
354730,Herbert,Cantabrana,Herbert Cantabrana,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,female,College,Urban,0.0,Married,Star,2017-10-23,2021-01-02,3885.46,Standard,False,1167,
413741,Mitchell,Hinchliff,Mitchell Hinchliff,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,College,Urban,0.0,Married,Star,2018-07-30,,3885.46,Standard,False,2639,
552965,Lia,Broome,Lia Broome,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,male,College,Rural,0.0,Married,Star,2021-11-18,,3885.46,Standard,False,1432,
642313,Michel,Theuret,Michel Theuret,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,male,College,Suburban,0.0,Married,Star,2019-03-22,,3885.46,Standard,False,2404,
263080,Tracy,Hergenreter,Tracy Hergenreter,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,male,College,Urban,0.0,Single,Star,2017-05-21,,3886.5,Standard,False,3074,
109767,Ami,Grosbier,Ami Grosbier,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,Bachelor,Suburban,78108.0,Single,Star,2019-05-21,,3886.65,Standard,False,2344,
217754,Mitzi,Roaoo,Mitzi Roaoo,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,female,Bachelor,Urban,96335.0,Single,Star,2018-06-20,,3887.32,Standard,False,2679,
